NCBIGENE:1	A1BG
NCBIGENE:11057	ABHD2
NCBIGENE:11061	CNMD
NCBIGENE:11064	CNTRL
NCBIGENE:11067	DEPP1
NCBIGENE:11072	DUSP14
NCBIGENE:11075	STMN2
NCBIGENE:11076	TPPP
NCBIGENE:11082	ESM1
NCBIGENE:11103	KRR1
NCBIGENE:11119	BTN3A1
NCBIGENE:11131	CAPN11
NCBIGENE:11136	SLC7A9
NCBIGENE:11211	FZD10
NCBIGENE:11234	HPS5
NCBIGENE:11237	RNF24
NCBIGENE:112487	DTD2
NCBIGENE:11250	GPR45
NCBIGENE:11251	PTGDR2
NCBIGENE:11267	SNF8
NCBIGENE:11279	KLF8
NCBIGENE:113	ADCY7
NCBIGENE:11315	PARK7
NCBIGENE:11319	ECD
NCBIGENE:113451	AZIN2
NCBIGENE:113655	MFSD3
NCBIGENE:113835	ZNF257
NCBIGENE:116236	ABHD15
NCBIGENE:116328	C8orf34
NCBIGENE:116449	CLNK
NCBIGENE:118	ADD1
NCBIGENE:118663	BTBD16
NCBIGENE:119587	CPXM2
NCBIGENE:119692	OR51S1
NCBIGENE:120237	DBX1
NCBIGENE:123879	DCUN1D3
NCBIGENE:124245	ZC3H18
NCBIGENE:125704	DIPK1C
NCBIGENE:130	ADH6
NCBIGENE:136	ADORA2B
NCBIGENE:146	ADRA1D
NCBIGENE:150	ADRA2A
NCBIGENE:152503	SH3D19
NCBIGENE:153129	SLC38A9
NCBIGENE:153396	TMEM161B
NCBIGENE:153562	MARVELD2
NCBIGENE:154043	CNKSR3
NCBIGENE:158135	TTLL11
NCBIGENE:159963	SLC5A12
NCBIGENE:161198	CLEC14A
NCBIGENE:161394	SAMD15
NCBIGENE:162517	FBXO39
NCBIGENE:162681	C18orf54
NCBIGENE:166348	KBTBD12
NCBIGENE:1666	DECR1
NCBIGENE:166647	ADGRA3
NCBIGENE:167	CRISP1
NCBIGENE:167153	TENT2
NCBIGENE:167838	TXLNB
NCBIGENE:168400	DDX53
NCBIGENE:168455	CCDC71L
NCBIGENE:169270	ZNF596
NCBIGENE:169841	ZNF169
NCBIGENE:170062	FAM47B
NCBIGENE:171389	NLRP6
NCBIGENE:171568	POLR3H
NCBIGENE:176	ACAN
NCBIGENE:199	AIF1
NCBIGENE:199704	ZNF585A
NCBIGENE:199834	LCE4A
NCBIGENE:2	A2M
NCBIGENE:200010	SLC5A9
NCBIGENE:200172	SLFNL1
NCBIGENE:2002	ELK1
NCBIGENE:201163	FLCN
NCBIGENE:201514	ZNF584
NCBIGENE:202	CRYBG1
NCBIGENE:202018	TAPT1
NCBIGENE:202151	RANBP3L
NCBIGENE:202500	TCTE1
NCBIGENE:202915	TMEM184A
NCBIGENE:213	ALB
NCBIGENE:216	ALDH1A1
NCBIGENE:220047	CCDC83
NCBIGENE:220388	CCDC89
NCBIGENE:221154	MICU2
NCBIGENE:221692	PHACTR1
NCBIGENE:22796	COG2
NCBIGENE:22806	IKZF3
NCBIGENE:22823	MTF2
NCBIGENE:22869	ZNF510
NCBIGENE:22876	INPP5F
NCBIGENE:22880	MORC2
NCBIGENE:22889	KHDC4
NCBIGENE:22901	ARSG
NCBIGENE:22931	RAB18
NCBIGENE:22934	RPIA
NCBIGENE:22938	SNW1
NCBIGENE:23015	GOLGA8A
NCBIGENE:23019	CNOT1
NCBIGENE:23031	MAST3
NCBIGENE:23042	PDXDC1
NCBIGENE:23086	EXPH5
NCBIGENE:23094	SIPA1L3
NCBIGENE:23097	CDK19
NCBIGENE:23102	TBC1D2B
NCBIGENE:23108	RAP1GAP2
NCBIGENE:23112	TNRC6B
NCBIGENE:23116	TOGARAM1
NCBIGENE:23141	ANKLE2
NCBIGENE:23154	NCDN
NCBIGENE:23189	KANK1
NCBIGENE:23218	NBEAL2
NCBIGENE:23310	NCAPD3
NCBIGENE:23332	CLASP1
NCBIGENE:23382	AHCYL2
NCBIGENE:23390	ZDHHC17
NCBIGENE:23399	CTDNEP1
NCBIGENE:23415	KCNH4
NCBIGENE:23420	NOMO1
NCBIGENE:23435	TARDBP
NCBIGENE:23446	SLC44A1
NCBIGENE:23461	ABCA5
NCBIGENE:23478	SEC11A
NCBIGENE:23503	ZFYVE26
NCBIGENE:23515	MORC3
NCBIGENE:23516	SLC39A14
NCBIGENE:23519	ANP32D
NCBIGENE:23527	ACAP2
NCBIGENE:23531	MMD
NCBIGENE:23534	TNPO3
NCBIGENE:23544	SEZ6L
NCBIGENE:23548	TTC33
NCBIGENE:23559	WBP1
NCBIGENE:23568	ARL2BP
NCBIGENE:23623	RUSC1
NCBIGENE:23643	LY96
NCBIGENE:23646	PLD3
NCBIGENE:23649	POLA2
NCBIGENE:23676	SMPX
NCBIGENE:23682	RAB38
NCBIGENE:23741	EID1
NCBIGENE:23753	SDF2L1
NCBIGENE:23768	FLRT2
NCBIGENE:24137	KIF4A
NCBIGENE:24148	PRPF6
NCBIGENE:245932	DEFB119
NCBIGENE:248	ALPI
NCBIGENE:252839	TMEM9
NCBIGENE:252995	FNDC5
NCBIGENE:253190	SERHL2
NCBIGENE:253769	WDR27
NCBIGENE:255220	TXNDC8
NCBIGENE:255275	MYADML2
NCBIGENE:255738	PCSK9
NCBIGENE:255783	INAFM1
NCBIGENE:255967	PAN3
NCBIGENE:25791	NGEF
NCBIGENE:25799	ZNF324
NCBIGENE:25900	IFFO1
NCBIGENE:259215	LY6G6F
NCBIGENE:259289	TAS2R43
NCBIGENE:25929	GEMIN5
NCBIGENE:259293	TAS2R30
NCBIGENE:25956	SEC31B
NCBIGENE:26005	C2CD3
NCBIGENE:26010	SPATS2L
NCBIGENE:26019	UPF2
NCBIGENE:26027	ACOT11
NCBIGENE:26036	ZNF451
NCBIGENE:26045	LRRTM2
NCBIGENE:26046	LTN1
NCBIGENE:26230	TIAM2
NCBIGENE:26248	OR2K2
NCBIGENE:26253	CLEC4E
NCBIGENE:26258	BLOC1S6
NCBIGENE:26280	IL1RAPL2
NCBIGENE:26330	GAPDHS
NCBIGENE:26333	OR7A17
NCBIGENE:271	AMPD2
NCBIGENE:277	AMY1B
NCBIGENE:278	AMY1C
NCBIGENE:280636	SELENOH
NCBIGENE:282770	OR10AG1
NCBIGENE:282890	ZNF311
NCBIGENE:283208	P4HA3
NCBIGENE:283365	OR6C6
NCBIGENE:283869	NPW
NCBIGENE:284098	PIGW
NCBIGENE:284111	SLC13A5
NCBIGENE:284361	EMC10
NCBIGENE:284459	ZNF875
NCBIGENE:284486	THEM5
NCBIGENE:284541	CYP4A22
NCBIGENE:284612	SYPL2
NCBIGENE:285368	PRRT3
NCBIGENE:285429	DCAF4L1
NCBIGENE:285613	RELL2
NCBIGENE:286	ANK1
NCBIGENE:286319	TUSC1
NCBIGENE:286380	FOXD4L3
NCBIGENE:286527	TMSB15B
NCBIGENE:288	ANK3
NCBIGENE:30	ACAA1
NCBIGENE:302	ANXA2
NCBIGENE:317761	C14orf39
NCBIGENE:318	NUDT2
NCBIGENE:321	APBA2
NCBIGENE:329	BIRC2
NCBIGENE:33	ACADL
NCBIGENE:337963	KRTAP23-1
NCBIGENE:337974	KRTAP19-7
NCBIGENE:339291	LRRC30
NCBIGENE:339327	ZNF546
NCBIGENE:340390	WDR97
NCBIGENE:341418	OR6C4
NCBIGENE:342977	NANOS3
NCBIGENE:344805	TMPRSS7
NCBIGENE:346	APOC4
NCBIGENE:346528	OR2A1
NCBIGENE:347168	OR1J1
NCBIGENE:351	APP
NCBIGENE:353140	LCE2C
NCBIGENE:353143	LCE3B
NCBIGENE:355	FAS
NCBIGENE:358	AQP1
NCBIGENE:374	AREG
NCBIGENE:374877	TEX45
NCBIGENE:374897	SBSN
NCBIGENE:375298	CERKL
NCBIGENE:377841	ENTPD8
NCBIGENE:38	ACAT1
NCBIGENE:381	ARF5
NCBIGENE:384	ARG2
NCBIGENE:386618	KCTD4
NCBIGENE:386684	KRTAP12-4
NCBIGENE:387496	RASL11A
NCBIGENE:388419	BTBD17
NCBIGENE:388512	CLEC17A
NCBIGENE:388555	IGFL3
NCBIGENE:389	RHOC
NCBIGENE:389152	PRR23C
NCBIGENE:389333	PROB1
NCBIGENE:389432	SAMD5
NCBIGENE:389677	RBM12B
NCBIGENE:390148	OR5W2
NCBIGENE:390259	BSX
NCBIGENE:390265	OR10G7
NCBIGENE:390441	OR11H7
NCBIGENE:390648	OR4F6
NCBIGENE:391	RHOG
NCBIGENE:391002	r":"API rate limit exceeded
NCBIGENE:393046	OR2A5
NCBIGENE:399512	SLC25A35
NCBIGENE:400073	C12orf76
NCBIGENE:400765	MIR137HG
NCBIGENE:400935	IL17REL
NCBIGENE:401	PHOX2A
NCBIGENE:401666	OR51A4
NCBIGENE:402117	r":"API rate limit exceeded
NCBIGENE:406912	MIR125B2
NCBIGENE:406927	MIR136
NCBIGENE:406938	MIR146A
NCBIGENE:406980	MIR19B1
NCBIGENE:406999	MIR217
NCBIGENE:407003	MIR219A2
NCBIGENE:407013	MIR24-2
NCBIGENE:407019	MIR27B
NCBIGENE:407042	MIR34C
NCBIGENE:407050	MIR93
NCBIGENE:408029	CDRT15P3
NCBIGENE:414301	DDI1
NCBIGENE:432	ASGR1
NCBIGENE:440699	LRRC52
NCBIGENE:440822	PIWIL3
NCBIGENE:441024	MTHFD2L
NCBIGENE:441272	r":"API rate limit exceeded
NCBIGENE:442185	OR2J1
NCBIGENE:442197	OR2I1P
NCBIGENE:442890	MIR133B
NCBIGENE:443	ASPA
NCBIGENE:444	r":"API rate limit exceeded
NCBIGENE:47	ACLY
NCBIGENE:473	RERE
NCBIGENE:493818	MYMY3
NCBIGENE:496	ATP4B
NCBIGENE:514	r":"API rate limit exceeded
NCBIGENE:522	ATP5PF
NCBIGENE:529	ATP6V1E1
NCBIGENE:53	ACP2
NCBIGENE:554	AVPR2
NCBIGENE:55695	NSUN5
NCBIGENE:55763	EXOC1
NCBIGENE:55785	FGD6
NCBIGENE:55800	SCN3B
NCBIGENE:55884	WSB2
NCBIGENE:55902	ACSS2
NCBIGENE:55915	LANCL2
NCBIGENE:55922	NKRF
NCBIGENE:55937	APOM
NCBIGENE:55973	BCAP29
NCBIGENE:55998	NXF5
NCBIGENE:56052	ALG1
NCBIGENE:56114	r":"API rate limit exceeded
NCBIGENE:56128	PCDHB8
NCBIGENE:56180	MOSPD1
NCBIGENE:56242	ZNF253
NCBIGENE:56261	GPCPD1
NCBIGENE:563	AZGP1
NCBIGENE:56311	ANKRD7
NCBIGENE:56616	DIABLO
NCBIGENE:56832	IFNK
NCBIGENE:56882	r":"API rate limit exceeded
NCBIGENE:56897	WRNIP1
NCBIGENE:56901	NDUFA4L2
NCBIGENE:56905	C15orf39
NCBIGENE:56911	MAP3K7CL
NCBIGENE:56915	r":"API rate limit exceeded
NCBIGENE:56919	DHX33
NCBIGENE:56929	FEM1C
NCBIGENE:56936	CCDC177
NCBIGENE:56986	r":"API rate limit exceeded
NCBIGENE:56997	COQ8A
NCBIGENE:57017	COQ9
NCBIGENE:57045	TWSG1
NCBIGENE:57099	AVEN
NCBIGENE:57126	r":"API rate limit exceeded
NCBIGENE:57130	ATP13A1
NCBIGENE:57179	KIAA1191
NCBIGENE:57402	S100A14
NCBIGENE:574408	r":"API rate limit exceeded
NCBIGENE:574414	PRR9
NCBIGENE:574450	MIR493
NCBIGENE:574467	MIR520A
NCBIGENE:57534	MIB1
NCBIGENE:57569	ARHGAP20
NCBIGENE:57573	ZNF471
NCBIGENE:57583	TMEM181
NCBIGENE:57614	RELCH
NCBIGENE:57636	ARHGAP23
NCBIGENE:57644	r":"API rate limit exceeded
NCBIGENE:57700	FAM160B1
NCBIGENE:57706	DENND1A
NCBIGENE:57716	PRX
NCBIGENE:57821	CCDC181
NCBIGENE:57834	CYP4F11
NCBIGENE:58191	CXCL16
NCBIGENE:58489	ABHD17C
NCBIGENE:58503	OPRPN
NCBIGENE:587	r":"API rate limit exceeded
NCBIGENE:619552	MIR483
NCBIGENE:619556	MIR455
NCBIGENE:622	BDH1
NCBIGENE:629	r":"API rate limit exceeded
NCBIGENE:632	BGLAP
NCBIGENE:64110	MAGEF1
NCBIGENE:64122	FN3K
NCBIGENE:64324	NSD1
NCBIGENE:645191	LINGO3
NCBIGENE:64663	SPANXC
NCBIGENE:64718	UNKL
NCBIGENE:64754	SMYD3
NCBIGENE:64983	MRPL32
NCBIGENE:653275	CFC1B
NCBIGENE:654346	LGALS9C
NCBIGENE:655	BMP7
NCBIGENE:65975	STK33
NCBIGENE:65982	ZSCAN18
NCBIGENE:66037	BOLL
NCBIGENE:663	BNIP2
NCBIGENE:668	FOXL2
NCBIGENE:673	BRAF
NCBIGENE:680	BRS3
NCBIGENE:7201	r":"API rate limit exceeded
NCBIGENE:7251	TSG101
NCBIGENE:7267	TTC3
NCBIGENE:727940	RHOXF2B
NCBIGENE:728379	USP17L26
NCBIGENE:7284	TUFM
NCBIGENE:728498	GOLGA8H
NCBIGENE:728591	CCDC169
NCBIGENE:729230	CCR2
NCBIGENE:729330	r":"API rate limit exceeded
NCBIGENE:729408	GAGE2D
NCBIGENE:729582	DIRC3
NCBIGENE:729944	ZNF75CP
NCBIGENE:729993	SHISA9
NCBIGENE:7325	UBE2E2
NCBIGENE:7329	UBE2I
NCBIGENE:7350	UCP1
NCBIGENE:7361	UGT1A
NCBIGENE:7363	UGT2B4
NCBIGENE:7368	UGT8
NCBIGENE:7369	UMOD
NCBIGENE:7381	UQCRB
NCBIGENE:7405	UVRAG
NCBIGENE:7415	VCP
NCBIGENE:7422	VEGFA
NCBIGENE:7424	r":"API rate limit exceeded
NCBIGENE:7430	EZR
NCBIGENE:7439	BEST1
NCBIGENE:7443	VRK1
NCBIGENE:7448	VTN
NCBIGENE:7455	ZAN
NCBIGENE:7464	CORO2A
NCBIGENE:7478	WNT8A
NCBIGENE:7511	XPNPEP1
NCBIGENE:7529	YWHAB
NCBIGENE:7543	ZFX
NCBIGENE:7576	ZNF28
NCBIGENE:7626	ZNF75D
NCBIGENE:7629	ZNF76
NCBIGENE:768222	r":"API rate limit exceeded
NCBIGENE:7709	ZBTB17
NCBIGENE:7727	ZNF174
NCBIGENE:7733	ZNF180
NCBIGENE:7745	r":"API rate limit exceeded
NCBIGENE:7757	r":"API rate limit exceeded
NCBIGENE:7762	ZNF215
NCBIGENE:7768	ZNF225
NCBIGENE:7773	ZNF230
NCBIGENE:7789	ZXDA
NCBIGENE:7805	LAPTM5
NCBIGENE:7827	NPHS2
NCBIGENE:7844	RNF103
NCBIGENE:7857	SCG2
NCBIGENE:7871	SLMAP
NCBIGENE:7874	USP7
NCBIGENE:79000	AUNIP
NCBIGENE:79025	r":"API rate limit exceeded
NCBIGENE:79053	ALG8
NCBIGENE:79075	DSCC1
NCBIGENE:79083	MLPH
NCBIGENE:79092	CARD14
NCBIGENE:79097	TRIM48
NCBIGENE:79148	MMP28
NCBIGENE:7916	PRRC2A
NCBIGENE:79366	HMGN5
NCBIGENE:79568	MAIP1
NCBIGENE:79586	CHPF
NCBIGENE:79642	ARSJ
NCBIGENE:79651	RHBDF2
NCBIGENE:79661	NEIL1
NCBIGENE:79727	LIN28A
NCBIGENE:79736	TEFM
NCBIGENE:79751	SLC25A22
NCBIGENE:79763	ISOC2
NCBIGENE:79792	GSDMD
NCBIGENE:79803	HPS6
NCBIGENE:79862	ZNF669
NCBIGENE:79897	RPP21
NCBIGENE:79902	NUP85
NCBIGENE:79918	SETD6
NCBIGENE:79922	MRM1
NCBIGENE:79960	JADE1
NCBIGENE:80218	r":"API rate limit exceeded
NCBIGENE:80223	RAB11FIP1
NCBIGENE:80271	r":"API rate limit exceeded
NCBIGENE:80301	PLEKHO2
NCBIGENE:8036	SHOC2
NCBIGENE:80818	ZNF436
NCBIGENE:8087	FXR1
NCBIGENE:8099	r":"API rate limit exceeded
NCBIGENE:8100	IFT88
NCBIGENE:81328	OR4A15
NCBIGENE:8140	SLC7A5
NCBIGENE:81406	OR2W6P
NCBIGENE:81539	r":"API rate limit exceeded
NCBIGENE:81554	RCC1L
NCBIGENE:81617	CAB39L
NCBIGENE:81669	CCNL2
NCBIGENE:81851	r":"API rate limit exceeded
NCBIGENE:8202	NCOA3
NCBIGENE:8226	PUDP
NCBIGENE:8273	SLC10A3
NCBIGENE:8318	CDC45
NCBIGENE:8334	r":"API rate limit exceeded
NCBIGENE:8339	H2BC8
NCBIGENE:83394	PITPNM3
NCBIGENE:83440	ADPGK
NCBIGENE:8349	H2BC21
NCBIGENE:8350	H3C1
NCBIGENE:8356	H3C12
NCBIGENE:83590	TMUB1
NCBIGENE:83695	r":"API rate limit exceeded
NCBIGENE:83699	SH3BGRL2
NCBIGENE:83756	TAS1R3
NCBIGENE:83854	ANGPTL6
NCBIGENE:83871	RAB34
NCBIGENE:8390	OR1G1
NCBIGENE:83953	FCAMR
NCBIGENE:83990	BRIP1
NCBIGENE:84000	TMPRSS13
NCBIGENE:84061	MAGT1
NCBIGENE:84281	C2orf88
NCBIGENE:84290	CAPNS2
NCBIGENE:84295	PHF6
NCBIGENE:84300	UQCC2
NCBIGENE:84432	PROK1
NCBIGENE:8444	DYRK3
NCBIGENE:84458	LCOR
NCBIGENE:8449	DHX16
NCBIGENE:8450	CUL4B
NCBIGENE:8462	KLF11
NCBIGENE:84689	MS4A14
NCBIGENE:84798	C19orf48
NCBIGENE:84894	LINGO1
NCBIGENE:8490	RGS5
NCBIGENE:84909	AOPEP
NCBIGENE:84919	PPP1R15B
NCBIGENE:84924	ZNF566
NCBIGENE:84940	CORO6
NCBIGENE:8496	PPFIBP1
NCBIGENE:85016	CFAP300
NCBIGENE:8514	KCNAB2
NCBIGENE:8514	KCNAB2
NCBIGENE:8515	ITGA10
NCBIGENE:85294	KRTAP2-4
NCBIGENE:85365	ALG2
NCBIGENE:85450	ITPRIP
NCBIGENE:8651	SOCS1
NCBIGENE:8685	MARCO
NCBIGENE:8690	r":"API rate limit exceeded
NCBIGENE:87	ACTN1
NCBIGENE:8708	B3GALT1
NCBIGENE:8718	TNFRSF25
NCBIGENE:8722	CTSF
NCBIGENE:8726	EED
NCBIGENE:8738	CRADD
NCBIGENE:8741	TNFSF13
NCBIGENE:8749	ADAM18
NCBIGENE:8756	r":"API rate limit exceeded
NCBIGENE:8774	NAPG
NCBIGENE:8778	SIGLEC5
NCBIGENE:8785	MATN4
NCBIGENE:8789	FBP2
NCBIGENE:8793	TNFRSF10D
NCBIGENE:8800	PEX11A
NCBIGENE:8803	SUCLA2
NCBIGENE:8815	BANF1
NCBIGENE:8819	SAP30
NCBIGENE:8831	SYNGAP1
NCBIGENE:8834	TMEM11
NCBIGENE:8837	CFLAR
NCBIGENE:8848	TSC22D1
NCBIGENE:8856	r":"API rate limit exceeded
NCBIGENE:8859	STK19
NCBIGENE:8880	FUBP1
NCBIGENE:8883	NAE1
NCBIGENE:8927	BSN
NCBIGENE:8968	r":"API rate limit exceeded
NCBIGENE:89781	HPS4
NCBIGENE:8993	PGLYRP1
NCBIGENE:8997	KALRN
NCBIGENE:9031	BAZ1B
NCBIGENE:9044	r":"API rate limit exceeded
NCBIGENE:9048	ARTN
NCBIGENE:9054	NFS1
NCBIGENE:9057	SLC7A6
NCBIGENE:9066	SYT7
NCBIGENE:90736	FAM104B
NCBIGENE:9079	LDB2
NCBIGENE:90835	CCDC189
NCBIGENE:9091	PIGQ
NCBIGENE:9119	KRT75
NCBIGENE:9122	SLC16A4
NCBIGENE:9126	SMC3
NCBIGENE:9129	PRPF3
NCBIGENE:9140	ATG12
NCBIGENE:9145	SYNGR1
NCBIGENE:9148	NEURL1
NCBIGENE:9153	SLC28A2
NCBIGENE:91612	CHURC1
NCBIGENE:91664	ZNF845
NCBIGENE:9167	COX7A2L
NCBIGENE:9181	ARHGEF2
NCBIGENE:91869	RFT1
NCBIGENE:9189	ZBED1
NCBIGENE:92	ACVR2A
NCBIGENE:9242	MSC
NCBIGENE:9253	NUMBL
NCBIGENE:9262	STK17B
NCBIGENE:9266	r":"API rate limit exceeded
NCBIGENE:9288	TAAR3P
NCBIGENE:9293	GPR52
NCBIGENE:92935	MARS2
NCBIGENE:92979	MARCHF9
NCBIGENE:93134	r":"API rate limit exceeded
NCBIGENE:93408	MYL10
NCBIGENE:93550	ZFAND4
NCBIGENE:9374	PPT2
NCBIGENE:9378	r":"API rate limit exceeded
NCBIGENE:9390	SLC22A13
NCBIGENE:9397	NMT2
NCBIGENE:94025	MUC16
NCBIGENE:94032	CAMK2N2
NCBIGENE:9415	FADS2
NCBIGENE:9436	NCR2
NCBIGENE:9440	MED17
NCBIGENE:9450	LY86
NCBIGENE:9456	HOMER1
NCBIGENE:9464	r":"API rate limit exceeded
NCBIGENE:9465	AKAP7
NCBIGENE:9473	THEMIS2
NCBIGENE:9489	PGS1
NCBIGENE:95	ACY1
NCBIGENE:9519	r":"API rate limit exceeded
NCBIGENE:9527	GOSR1
NCBIGENE:9535	GMFG
NCBIGENE:9573	GDF3
NCBIGENE:9581	PREPL
NCBIGENE:9590	AKAP12
NCBIGENE:9611	NCOR1
NCBIGENE:9612	NCOR2
NCBIGENE:9618	TRAF4
NCBIGENE:9622	r":"API rate limit exceeded
NCBIGENE:9629	CLCA3P
NCBIGENE:9683	N4BP1
NCBIGENE:9694	r":"API rate limit exceeded
NCBIGENE:9697	r":"API rate limit exceeded
NCBIGENE:9746	CLSTN3
NCBIGENE:9750	RIPOR2
NCBIGENE:9757	KMT2B
NCBIGENE:9766	SUSD6
NCBIGENE:9784	SNX17
NCBIGENE:9793	CKAP5
NCBIGENE:9807	IP6K1
NCBIGENE:9819	TSC22D2
NCBIGENE:9824	ARHGAP11A
NCBIGENE:9831	ZNF623
NCBIGENE:9837	GINS1
NCBIGENE:9851	KIAA0753
NCBIGENE:9900	SV2A
NCBIGENE:9901	SRGAP3
NCBIGENE:9904	RBM19
NCBIGENE:9907	AP5Z1
NCBIGENE:9912	ARHGAP44
NCBIGENE:9917	FAM20B
NCBIGENE:9920	KBTBD11
NCBIGENE:9928	KIF14
NCBIGENE:9933	PUM3
NCBIGENE:9958	USP15
NCBIGENE:9976	r":"API rate limit exceeded
NCBIGENE:9990	SLC12A6
NCBIGENE:9994	CASP8AP2
NCBIGENE:100037417	DDTL
NCBIGENE:10007	GNPDA1
NCBIGENE:10010	TANK
NCBIGENE:100101629	GAGE8
NCBIGENE:100124696	TEC
NCBIGENE:100126315	MIR665
NCBIGENE:100126318	MIR301B
NCBIGENE:100126325	MIR935
NCBIGENE:100126338	MIR937
NCBIGENE:100126345	MIR889
NCBIGENE:100128569	C19orf71
NCBIGENE:100129216	DEFB131B
NCBIGENE:100129385	C9orf92
NCBIGENE:100130361	CXorf49
NCBIGENE:100130613	PRR32
NCBIGENE:100130890	r":"API rate limit exceeded
NCBIGENE:100131137	BSPH1
NCBIGENE:100131244	ANKRD63
NCBIGENE:100131378	C11orf91
NCBIGENE:100131439	CD300LD
NCBIGENE:100131539	ZNF705E
NCBIGENE:100131755	ARMCX4
NCBIGENE:100131897	INSYN2B
NCBIGENE:100131980	r":"API rate limit exceeded
NCBIGENE:100132304	FAM236B
NCBIGENE:100132406	NBPF10
NCBIGENE:100132463	CLDN24
NCBIGENE:100132911	r":"API rate limit exceeded
NCBIGENE:100132963	SMIM9
NCBIGENE:100133053	CXorf51B
NCBIGENE:100133251	PRR23D2
NCBIGENE:100133267	r":"API rate limit exceeded
NCBIGENE:100133301	FAM231BP
NCBIGENE:100134444	KCNJ18
NCBIGENE:100137047	JMJD7
NCBIGENE:100141515	C17orf99
NCBIGENE:100142659	CTAGE8
NCBIGENE:100169751	RNA5S1
NCBIGENE:100169754	r":"API rate limit exceeded
NCBIGENE:100169759	RNA5S8
NCBIGENE:100169763	RNA5S12
NCBIGENE:100169767	RNA5S16
NCBIGENE:100170765	ERICH4
NCBIGENE:100170841	r":"API rate limit exceeded
NCBIGENE:100188856	DEL22Q11.2
NCBIGENE:100188893	TOMM6
NCBIGENE:100191040	C2CD4D
NCBIGENE:1002	CDH4
NCBIGENE:10021	HCN4
NCBIGENE:100216344	DYT17
NCBIGENE:100271837	USH1H
NCBIGENE:100271846	ERVV-2
